date,confirmed,deaths,recovered,confirmed_diff,deaths_diff,recovered_diff,last_update,active,active_diff,fatality_rate,iso
2023-03-09,36352,222,0,22,0,0,2023-03-10 04:21:03,36130,22,0.0061,CHL
2023-03-09,510730,4824,0,305,2,0,2023-03-10 04:21:03,505906,303,0.0094,CHL
2023-03-09,211158,1951,0,133,1,0,2023-03-10 04:21:03,209207,132,0.0092,CHL
2023-03-09,243060,2577,0,161,2,0,2023-03-10 04:21:03,240483,159,0.0106,CHL
2023-03-09,148252,1411,0,113,1,0,2023-03-10 04:21:03,146841,112,0.0095,CHL
2023-03-09,67653,774,0,39,0,0,2023-03-10 04:21:03,66879,39,0.0114,CHL
2023-03-09,346804,3354,0,237,4,0,2023-03-10 04:21:03,343450,233,0.0097,CHL
2023-03-09,1967389,30869,0,1637,2,0,2023-03-10 04:21:03,1936520,1635,0.0157,CHL
2023-03-09,158355,1333,0,132,4,0,2023-03-10 04:21:03,157022,128,0.0084,CHL
2023-03-09,221916,2821,0,231,0,0,2023-03-10 04:21:03,219095,231,0.0127,CHL
2023-03-09,113542,1173,0,27,0,0,2023-03-10 04:21:03,112369,27,0.0103,CHL
2023-03-09,42,2,0,0,0,0,2023-03-10 04:21:03,40,0,0.0476,CHL
2023-03-09,492917,6461,0,391,1,0,2023-03-10 04:21:03,486456,390,0.0131,CHL
2023-03-09,2275,7,0,0,0,0,2023-03-10 04:21:03,2268,0,0.0031,CHN
2023-03-09,40774,20,0,0,0,0,2023-03-10 04:21:03,40754,0,0.0005,CHN
2023-03-09,14715,11,0,0,0,0,2023-03-10 04:21:03,14704,0,0.0007,CHN
2023-03-09,17122,2,0,0,0,0,2023-03-10 04:21:03,17120,0,0.0001,CHN
2023-03-09,1742,2,0,0,0,0,2023-03-10 04:21:03,1740,0,0.0011,CHN
2023-03-09,103248,10,0,0,0,0,2023-03-10 04:21:03,103238,0,0.0001,CHN
2023-03-09,13371,2,0,0,0,0,2023-03-10 04:21:03,13369,0,0.0001,CHN
2023-03-09,2534,2,0,0,0,0,2023-03-10 04:21:03,2532,0,0.0008,CHN
2023-03-09,10483,6,0,0,0,0,2023-03-10 04:21:03,10477,0,0.0006,CHN
2023-03-09,3292,7,0,0,0,0,2023-03-10 04:21:03,3285,0,0.0021,CHN
2023-03-09,6603,18,0,0,0,0,2023-03-10 04:21:03,6585,0,0.0027,CHN
2023-03-09,9948,23,0,0,0,0,2023-03-10 04:21:03,9925,0,0.0023,CHN
2023-03-09,2876106,13467,0,0,1,0,2023-03-10 04:21:03,2862639,-1,0.0047,CHN
2023-03-09,72131,4515,0,0,0,0,2023-03-10 04:21:03,67616,0,0.0626,CHN
2023-03-09,7437,4,0,0,0,0,2023-03-10 04:21:03,7433,0,0.0005,CHN
2023-03-09,8847,1,0,0,0,0,2023-03-10 04:21:03,8846,0,0.0001,CHN
2023-03-09,5075,0,0,0,0,0,2023-03-10 04:21:03,5075,0,0.0,CHN
2023-03-09,3423,2,0,0,0,0,2023-03-10 04:21:03,3421,0,0.0006,CHN
2023-03-09,40764,5,0,0,0,0,2023-03-10 04:21:03,40759,0,0.0001,CHN
2023-03-09,3547,2,0,0,0,0,2023-03-10 04:21:03,3545,0,0.0006,CHN
2023-03-09,3514,121,0,0,0,0,2023-03-10 04:21:03,3393,0,0.0344,CHN
2023-03-09,1276,0,0,0,0,0,2023-03-10 04:21:03,1276,0,0.0,CHN
2023-03-09,782,0,0,0,0,0,2023-03-10 04:21:03,782,0,0.0,CHN
2023-03-09,7326,5,0,0,0,0,2023-03-10 04:21:03,7321,0,0.0007,CHN
2023-03-09,5880,10,0,0,0,0,2023-03-10 04:21:03,5870,0,0.0017,CHN
2023-03-09,67040,595,0,0,0,0,2023-03-10 04:21:03,66445,0,0.0089,CHN
2023-03-09,7167,1,0,0,0,0,2023-03-10 04:21:03,7166,0,0.0001,CHN
2023-03-09,14567,12,0,0,0,0,2023-03-10 04:21:03,14555,0,0.0008,CHN
2023-03-09,4392,3,0,0,0,0,2023-03-10 04:21:03,4389,0,0.0007,CHN
2023-03-09,1647,0,0,0,0,0,2023-03-10 04:21:03,1647,0,0.0,CHN
2023-03-09,1521816,82195,0,0,0,0,2023-03-10 04:21:03,1439621,0,0.054,CHN
2023-03-09,3089,3,0,0,0,0,2023-03-10 04:21:03,3086,0,0.001,CHN
2023-03-09,9743,4,0,0,0,0,2023-03-10 04:21:03,9739,0,0.0004,CHN
2023-03-09,11848,1,0,0,0,0,2023-03-10 04:21:03,11847,0,0.0001,CHN
2023-03-09,7851,265,0,0,0,0,2023-03-10 04:21:03,7586,0,0.0338,COL
2023-03-09,950809,18617,0,0,0,0,2023-03-10 04:21:03,932192,0,0.0196,COL
2023-03-09,17130,569,0,0,0,0,2023-03-10 04:21:03,16561,0,0.0332,COL
2023-03-09,417897,10230,0,0,0,0,2023-03-10 04:21:03,407667,0,0.0245,COL
2023-03-09,203497,3276,0,0,0,0,2023-03-10 04:21:03,200221,0,0.0161,COL
2023-03-09,130254,2903,0,0,0,0,2023-03-10 04:21:03,127351,0,0.0223,COL
2023-03-09,119792,2580,0,0,0,0,2023-03-10 04:21:03,117212,0,0.0215,COL
2023-03-09,1874877,30051,0,0,0,0,2023-03-10 04:21:03,1844826,0,0.016,COL
2023-03-09,25704,1041,0,0,0,0,2023-03-10 04:21:03,24663,0,0.0405,COL
2023-03-09,43079,1029,0,0,0,0,2023-03-10 04:21:03,42050,0,0.0239,COL
2023-03-09,76788,1854,0,0,0,0,2023-03-10 04:21:03,74934,0,0.0241,COL
2023-03-09,109404,2694,0,0,0,0,2023-03-10 04:21:03,106710,0,0.0246,COL
2023-03-09,18891,430,0,0,0,0,2023-03-10 04:21:03,18461,0,0.0228,COL
2023-03-09,122594,3961,0,0,0,0,2023-03-10 04:21:03,118633,0,0.0323,COL
2023-03-09,330221,7398,0,0,0,0,2023-03-10 04:21:03,322823,0,0.0224,COL
2023-03-09,2795,37,0,0,0,0,2023-03-10 04:21:03,2758,0,0.0132,COL
2023-03-09,5683,105,0,0,0,0,2023-03-10 04:21:03,5578,0,0.0185,COL
2023-03-09,103346,3593,0,0,0,0,2023-03-10 04:21:03,99753,0,0.0348,COL
2023-03-09,58097,1548,0,0,0,0,2023-03-10 04:21:03,56549,0,0.0266,COL
2023-03-09,117751,3655,0,0,0,0,2023-03-10 04:21:03,114096,0,0.031,COL
2023-03-09,107879,2609,0,0,0,0,2023-03-10 04:21:03,105270,0,0.0242,COL
2023-03-09,108552,3418,0,0,0,0,2023-03-10 04:21:03,105134,0,0.0315,COL
2023-03-09,125260,5192,0,0,0,0,2023-03-10 04:21:03,120068,0,0.0414,COL
2023-03-09,21998,791,0,0,0,0,2023-03-10 04:21:03,21207,0,0.036,COL
2023-03-09,73182,2086,0,0,0,0,2023-03-10 04:21:03,71096,0,0.0285,COL
2023-03-09,110026,2514,0,0,0,0,2023-03-10 04:21:03,107512,0,0.0228,COL
2023-03-09,10375,157,0,0,0,0,2023-03-10 04:21:03,10218,0,0.0151,COL
2023-03-09,295934,8382,0,0,0,0,2023-03-10 04:21:03,287552,0,0.0283,COL
2023-03-09,67157,1747,0,0,0,0,2023-03-10 04:21:03,65410,0,0.026,COL
2023-03-09,127417,4092,0,0,0,0,2023-03-10 04:21:03,123325,0,0.0321,COL
2023-03-09,0,0,0,0,0,0,2023-03-10 04:21:03,0,0,0.0,COL
2023-03-09,569412,15428,0,0,0,0,2023-03-10 04:21:03,553984,0,0.0271,COL
2023-03-09,1964,22,0,0,0,0,2023-03-10 04:21:03,1942,0,0.0112,COL
2023-03-09,3477,65,0,0,0,0,2023-03-10 04:21:03,3412,0,0.0187,COL
2023-03-09,9008,161,0,0,0,0,2023-03-10 04:21:03,8847,0,0.0179,COM
2023-03-09,25087,388,0,0,0,0,2023-03-10 04:21:03,24699,0,0.0155,COG
2023-03-09,95749,1464,0,0,0,0,2023-03-10 04:21:03,94285,0,0.0153,COD
2023-03-09,1209725,9245,0,0,0,0,2023-03-10 04:21:03,1200480,0,0.0076,CRI
2023-03-09,88263,834,0,8,0,0,2023-03-10 04:21:03,87429,8,0.0094,CIV
2023-03-09,1269326,17987,0,0,0,0,2023-03-10 04:21:03,1251339,0,0.0142,HRV
2023-03-09,1112643,8530,0,6,0,0,2023-03-10 04:21:03,1104113,6,0.0077,CUB
2023-03-09,650685,1330,0,0,0,0,2023-03-10 04:21:03,649355,0,0.002,CYP
2023-03-09,4618256,42491,0,1142,3,0,2023-03-10 04:21:03,4575765,1139,0.0092,CZE
2023-03-09,34658,28,0,0,0,0,2023-03-10 04:21:03,34630,0,0.0008,DNK
2023-03-09,11971,21,0,0,0,0,2023-03-10 04:21:03,11950,0,0.0018,DNK
2023-03-09,3404407,8296,0,139,4,0,2023-03-10 04:21:03,3396111,135,0.0024,DNK
2023-03-09,712,13,0,0,0,0,2023-03-10 04:21:03,699,0,0.0183,NA-SHIP-DP
2023-03-09,15690,189,0,0,0,0,2023-03-10 04:21:03,15501,0,0.012,DJI
2023-03-09,15760,74,0,0,0,0,2023-03-10 04:21:03,15686,0,0.0047,DMA
2023-03-09,660790,4384,0,0,0,0,2023-03-10 04:21:03,656406,0,0.0066,DOM
2023-03-09,1057121,36014,0,0,0,0,2023-03-10 04:21:03,1021107,0,0.0341,ECU
2023-03-09,515759,24812,0,0,0,0,2023-03-10 04:21:03,490947,0,0.0481,EGY
2023-03-09,201785,4230,0,0,0,0,2023-03-10 04:21:03,197555,0,0.021,SLV
2023-03-09,17229,183,0,0,0,0,2023-03-10 04:21:03,17046,0,0.0106,GNQ
2023-03-09,10189,103,0,0,0,0,2023-03-10 04:21:03,10086,0,0.0101,ERI
2023-03-09,615433,2946,0,0,0,0,2023-03-10 04:21:03,612487,0,0.0048,EST
2023-03-09,74267,1425,0,0,0,0,2023-03-10 04:21:03,72842,0,0.0192,SWZ
2023-03-09,500116,7572,0,14,0,0,2023-03-10 04:21:03,492544,14,0.0151,ETH
2023-03-09,68898,883,0,1,0,0,2023-03-10 04:21:03,68015,1,0.0128,FJI
2023-03-09,1463644,8967,0,668,31,0,2023-03-10 04:21:03,1454677,637,0.0061,FIN
2023-03-09,98041,413,0,0,0,0,2023-03-10 04:21:03,97628,0,0.0042,FRA
2023-03-09,78055,649,0,0,0,0,2023-03-10 04:21:03,77406,0,0.0083,FRA
2023-03-09,201886,1010,0,0,0,0,2023-03-10 04:21:03,200876,0,0.005,FRA
2023-03-09,229020,1092,0,0,0,0,2023-03-10 04:21:03,227928,0,0.0048,FRA
2023-03-09,42004,187,0,0,0,0,2023-03-10 04:21:03,41817,0,0.0045,FRA
2023-03-09,80017,314,0,0,0,0,2023-03-10 04:21:03,79703,0,0.0039,FRA
2023-03-09,494595,921,0,0,0,0,2023-03-10 04:21:03,493674,0,0.0019,FRA
2023-03-09,5441,6,0,0,0,0,2023-03-10 04:21:03,5435,0,0.0011,FRA
2023-03-09,3452,2,0,0,0,0,2023-03-10 04:21:03,3450,0,0.0006,FRA
